mainRibbonTabWorkbenchCapture;Werkbank
ExportStatuslineCompleted;regels verwerkt
ImportStatuslineCompletedPrepare;CSV Bestand voorbereid in:
ImportStatuslineCompleted;regels verwerkt
ImportStatuslineCompletedSingle;regel verwerkt
ImportStatuslineCompletedErrorSingle;regel overgeslagen vanwege fouten
ImportStatuslineCompletedError;regels overgeslagen vanwege fouten
ImportStatuslineCompletedOk;regels correct ingelezen
ImportStatuslineCompletedOkSingle;regel correct ingelezen
ImportStatuslineDescription;Geen regels ingelezen
ImportStatuslinePrefixAdded;Toegevoegd:
ImportStatuslinePrefixError;Fout in regel
ImportStatuslineText;Status:
ImportStatuslineNone;Geen
MaintananceStatuslineReadNone;Geen regels ingelezen
MaintananceStatuslineReadSingle;Regel ingelezen
MaintananceStatuslineRead;Regels ingelezen
MaintananceStatuslineNone;Geen
MaintananceStatuslineNotSavedAlreadyExcists;Niet opgeslagen, bestaat al
MaintananceStatuslineNotSavedAlreadyExcistsPrefix;Niet opgeslagen,
MaintananceStatuslineNotSavedAlreadyExcistsConcat;en
MaintananceStatuslineNotSavedAlreadyExcistsSuffix;bestaan al
MaintananceStatuslineNotSavedAlreadyExcistsSuffixSingle;bestaat al
MaintananceStatuslineNotSavedUnchanged;Niet opgeslagen, niets gewijzigd of bestaat al
MaintananceStatuslineNotSavedEmpty;Niet opgeslagen, niets ingevoerd
MaintananceStatuslineNotSavedAdded;is toegevoegd
MaintananceStatuslineNotSavedChanged;zijn gewijzigd
MaintananceStatuslineNotSavedDataOf;De gegevens van
MaintananceStatuslineDeleted;Regel is verwijderd
MaintananceStatuslineNotDeleted;Regel is niet verwijderd
MaintananceStatuslineUpdated;is gewijzigd
MaintananceStatuslineNotUpdated;is niet gewijzigd
MaintananceMailSubject;Verzoek om informatie
MaintananceMailSalution;Beste
MaintananceMailSalutionMorning;Goedenmorgen
MaintananceMailSalutionAfternoon;Goedenmiddag
MaintananceMailSalutionEvening;Goedenavond
MaintananceMailSalutionNight;Goedennacht
ToolBarButtonImageAddLabel;Afbeelding laden
